original_code,original_name,original_dci,original_dosage,original_form,original_presentation,ai_primary_concept,ai_confidence_score,ai_dosage_standardized,ai_form_standardized,ai_active_ingredient_english,ai_mapping_strategy,ai_reasoning,ai_alternatives,rxnorm_found,rxnorm_rxcui,rxnorm_name,rxnorm_tty,rxnorm_match_type,rxnorm_search_term,final_status,needs_review,processing_status,error_message,timestamp,tokens_used
6118001230068,URO / EAU POUR IRRIGATION,EAU POUR PREPARATION INJECTABLE,3000 ML,SOLUTION POUR IRRIGATION,1 POCHE 3 L,Sterile Water for Irrigation 3000 ML,9,3000 ML,Solution for Irrigation,Sterile Water for Injectable Preparation,"Mapped based on active ingredient and dosage. The product is a solution for irrigation, which is typically mapped to 'Sterile Water for Irrigation' in RxNorm. The dosage was converted to a standard format.","The product is a solution for irrigation, which is typically used for medical procedures. The active ingredient is 'Eau pour preparation injectable', which translates to 'Water for injectable preparation'. This is typically standardized to 'Sterile Water for Injection' in English. However, given that the product is specifically for irrigation, the most appropriate RxNorm concept is likely 'Sterile Water for Irrigation'. The dosage is provided in ML, which is a standard unit in RxNorm.","Sterile Water, Sterile Water for Injection",True,379002,Sterile Water for Irrigation,APPROX,approximate,Sterile Water for Irrigation 3000 ML,success,False,completed,,2025-07-27 20:29:08.535223,631
6118010116230,ELOXATINE 5 MG/ML,OXALIPLATINE,200 MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML,Oxaliplatin 200 MG/ML Injectable Solution,9,200 MG/ML,Injectable Solution,Oxaliplatin,"Mapped based on active ingredient, dosage and pharmaceutical form. Used the brand name Eloxatine as an alternative concept.","The product's active ingredient is Oxaliplatin, which is the same in English. The dosage was standardized to MG/ML, which is a common dosage unit in RxNorm. The pharmaceutical form 'Solution a diluer pour perfusion' was translated to 'Injectable Solution', a common term in RxNorm. The brand name Eloxatine was used as an alternative concept.","Oxaliplatin 5 MG/ML Injectable Solution, Eloxatine 200 MG/ML Injectable Solution",True,1797528,oxaliplatin 200 MG per 40 ML Injection,APPROX,approximate,Oxaliplatin 200 MG/ML Injectable Solution,success,False,completed,,2025-07-27 20:29:18.629906,615
6118001081646,ELOXATINE 5 MG/ML,OXALIPLATINE,200 MG,SOLUTION A DILUER POUR PERFUSION,1 BOITE 1 FLACON 40 ML,Oxaliplatin 200 MG / 40 ML Injectable Solution,9,200 MG / 40 ML,Injectable Solution,Oxaliplatin,"Mapped based on active ingredient, dosage, and pharmaceutical form. Used English translations for active ingredient and form.","The product's active ingredient is Oxaliplatin, which is the same in English. The dosage was standardized to MG/ML format, and the pharmaceutical form was translated to 'Injectable Solution', which is a common term in RxNorm. The primary concept is based on the exact dosage and form, while the alternatives consider different dosage formats.","Oxaliplatin 5 MG/ML Injectable Solution, Oxaliplatin 200 MG Injectable Solution",True,1797528,oxaliplatin 200 MG per 40 ML Injection,APPROX,approximate,Oxaliplatin 200 MG / 40 ML Injectable Solution,success,False,completed,,2025-07-27 20:29:29.165820,606
6118001182459,VIVALAN,VILOXAZINE,100 MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME,Viloxazine Hydrochloride 100 MG Oral Tablet,8,100 MG,Oral Tablet,Viloxazine Hydrochloride,"Mapped based on active ingredient, dosage, and form. Used the generic name Viloxazine Hydrochloride for the RxNorm concept.","The product VIVALAN contains the active ingredient Viloxazine. The dosage is 100 MG and the pharmaceutical form is a coated tablet, which translates to 'Oral Tablet' in RxNorm terminology. The most specific RxNorm concept is 'Viloxazine Hydrochloride 100 MG Oral Tablet'. Confidence is slightly reduced due to potential variations in brand names and formulations.","Viloxazine 100 MG Oral Tablet, Viloxazine Hydrochloride",True,432804,viloxazine 100 MG Oral Tablet,APPROX,approximate,Viloxazine Hydrochloride 100 MG Oral Tablet,success,False,completed,,2025-07-27 20:29:37.758199,594
6118000120155,ZADRYL,CETIRIZINE,1 MG,SOLUTION BUVABLE,1 FLACON 60 ML,Cetirizine 1 MG/ML Oral Solution,9,1 MG/ML,Oral Solution,Cetirizine,"Mapped based on active ingredient, dosage, and pharmaceutical form. Used standard RxNorm naming conventions.","The product ZADRYL contains the active ingredient Cetirizine. The dosage is 1 MG, and the pharmaceutical form is a drinkable solution (translated from French 'solution buvable'). In RxNorm, this is typically referred to as an 'Oral Solution'. Therefore, the most specific RxNorm concept that matches this product is 'Cetirizine 1 MG/ML Oral Solution'.","Cetirizine 1 MG Oral Solution, Cetirizine 1 MG/ML",True,1014673,,APPROX,approximate,Cetirizine 1 MG/ML Oral Solution,success,False,completed,,2025-07-27 20:29:46.461405,594
6118000241256,MYNAZOL,FLUCONAZOLE,50 MG,GELULE,1 BOITE 7 GELULE,Fluconazole 50 MG Oral Capsule,9,50 MG,Oral Capsule,Fluconazole,"Mapped based on active ingredient, dosage, and pharmaceutical form","The product MYNAZOL contains the active ingredient Fluconazole. The dosage is 50 MG and the pharmaceutical form is a capsule (gelule in French). The most specific RxNorm concept that matches this information is 'Fluconazole 50 MG Oral Capsule'. The confidence score is high because the mapping closely matches the product information. However, it's not a perfect match because the product name MYNAZOL is not included in the RxNorm concept.","Fluconazole 50 MG, Fluconazole Oral Capsule",True,199747,,APPROX,approximate,Fluconazole 50 MG Oral Capsule,success,False,completed,,2025-07-27 20:29:54.955742,589
6118000091974,ALFACEFAL 125 MG/5 ML,CEFACLOR,1.5 G,POUDRE POUR SUSPENSION BUVABLE,1 FLACON 60 ML,Cefaclor 125 MG/5ML Oral Suspension,9,125 MG/5ML,Oral Suspension,Cefaclor,"Mapped based on active ingredient, dosage, and pharmaceutical form. Used standard RxNorm naming conventions.",The active ingredient Cefaclor matches directly with the RxNorm concept. The dosage was standardized to MG/ML format. The pharmaceutical form 'POUDRE POUR SUSPENSION BUVABLE' was translated from French to English as 'Oral Suspension'. The primary concept was chosen based on these factors. Alternative concepts were provided considering possible variations in dosage.,"Cefaclor 25 MG/ML Oral Suspension, Cefaclor 250 MG/5ML Oral Suspension",True,309044,CEFACLOR 125MG/5ML SUSP,APPROX,approximate,Cefaclor 125 MG/5ML Oral Suspension,success,False,completed,,2025-07-27 20:30:04.166543,600
6118000041344,NOCAND 50 MG,FLUCONAZOLE,50 MG,GELULE,1 BOITE 7 GELULE,Fluconazole 50 MG Oral Capsule,9,50 MG,Oral Capsule,Fluconazole,"Mapped based on active ingredient, dosage, and form. Used standard RxNorm terminology for oral capsule (gelule).","The product's active ingredient is Fluconazole, which is the same in English. The dosage is 50 MG, which is a standard dosage unit. The form 'gelule' translates to 'capsule' in English, and 'oral capsule' is a common pharmaceutical form in RxNorm. The primary concept is therefore 'Fluconazole 50 MG Oral Capsule'. The confidence score is high because the mapping closely matches the product information.","Fluconazole 50 MG, Fluconazole Oral Capsule",True,199747,,APPROX,approximate,Fluconazole 50 MG Oral Capsule,success,False,completed,,2025-07-27 20:30:15.077970,599
6118000100270,MEDIATOR,BENFLUOREX,150 MG,COMPRIME ENROBE,1 BOITE 30 COMPRIME,Benfluorex hydrochloride 150 MG Oral Tablet,8,150 MG,Oral Tablet,Benfluorex hydrochloride,"Mapped based on active ingredient, dosage, and form. Considered INN/generic name and standard pharmaceutical form terminology.","The product 'Mediator' contains the active ingredient 'Benfluorex', which is a centrally acting antiobesity agent. The product is in the form of an 'Oral Tablet' and has a dosage of '150 MG'. The closest RxNorm concept is 'Benfluorex hydrochloride 150 MG Oral Tablet'. The confidence score is 8 due to the exact match in active ingredient, dosage, and form. However, the product name 'Mediator' is not included in the RxNorm concept, hence the score is not 10.","Benfluorex hydrochloride 150 MG, Benfluorex 150 MG Oral Tablet",True,252188,benfluorex 150 MG Oral Tablet,APPROX,approximate,Benfluorex hydrochloride 150 MG Oral Tablet,success,False,completed,,2025-07-27 20:30:24.587784,631
6118000071068,GASTROLIBER,LANSOPRAZOLE,30 MG,GELULE GASTRO-RESISTANTE,1 BOITE 15 GELULE GASTRO-RESISTANTE,Lansoprazole 30 MG Delayed Release Oral Capsule,9,30 MG,Delayed Release Oral Capsule,Lansoprazole,"Mapped based on active ingredient, dosage, and pharmaceutical form. The term 'Gastro-resistant' was translated to 'Delayed Release' in English, which is a common term in RxNorm.","The product GASTROLIBER contains the active ingredient Lansoprazole, which is a proton pump inhibitor used to treat certain stomach and esophagus problems (such as acid reflux, ulcers). The dosage is 30 MG and the pharmaceutical form is a gastro-resistant capsule, which is commonly referred to as a 'Delayed Release Oral Capsule' in English. This matches the RxNorm concept 'Lansoprazole 30 MG Delayed Release Oral Capsule'.","Lansoprazole 30 MG, Lansoprazole Delayed Release Oral Capsule",True,311277,"LANSOPRAZOLE 30 mg ORAL CAPSULE, DELAYED RELEASE",APPROX,approximate,Lansoprazole 30 MG Delayed Release Oral Capsule,success,False,completed,,2025-07-27 20:30:34.869039,644
